UnlockTheFps > Activating UnlockTheFps...
UnlockTheFps > Checking region: 00007ff742dc4000
UnlockTheFps > Checking region: 00007ff742def000
UnlockTheFps > Checking region: 00007ff742df0000
UnlockTheFps > Checking region: 00007ff742df4000
UnlockTheFps > Checking region: 00007ff742df5000
UnlockTheFps > Checking region: 00007ff742e03000
UnlockTheFps > Checking region: 00007ff742e04000
UnlockTheFps > Checking region: 00007ff742e07000
UnlockTheFps > Checking region: 00007ff742e08000
UnlockTheFps > Checking region: 00007ff742e0f000
UnlockTheFps > Checking region: 00007ff742e10000
UnlockTheFps > Checking region: 00007ff742e1c000
UnlockTheFps > Checking region: 00007ff742e1e000
UnlockTheFps > Checking region: 00007ff742e29000
UnlockTheFps > Checking region: 00007ff742e2a000
UnlockTheFps > Checking region: 00007ff742e2f000
UnlockTheFps > Checking region: 00007ff742e30000
UnlockTheFps > Checking region: 00007ff742e34000
UnlockTheFps > Checking region: 00007ff742e35000
UnlockTheFps > Checking region: 00007ff742e40000
UnlockTheFps > Checking region: 00007ff742e41000
UnlockTheFps > Checking region: 00007ff742e50000
UnlockTheFps > Checking region: 00007ff742e51000
UnlockTheFps > Checking region: 00007ff742e53000
UnlockTheFps > Checking region: 00007ff742e54000
UnlockTheFps > Checking region: 00007ff742e57000
UnlockTheFps > Checking region: 00007ff742e58000
UnlockTheFps > Checking region: 00007ff742e85000
UnlockTheFps > Checking region: 00007ff742e86000
UnlockTheFps > Checking region: 00007ff742ea7000
UnlockTheFps > Checking region: 00007ff742ea8000
UnlockTheFps > Checking region: 00007ff742ece000
UnlockTheFps > Checking region: 00007ff742ecf000
UnlockTheFps > Checking region: 00007ff742ed4000
UnlockTheFps > Checking region: 00007ff742ed6000
UnlockTheFps > Checking region: 00007ff742ed8000
UnlockTheFps > Checking region: 00007ff742ed9000
UnlockTheFps > Checking region: 00007ff742edb000
UnlockTheFps > Checking region: 00007ff742edc000
UnlockTheFps > Checking region: 00007ff742ee0000
UnlockTheFps > Checking region: 00007ff742ee1000
UnlockTheFps > Checking region: 00007ff742ee5000
UnlockTheFps > Checking region: 00007ff742ee6000
UnlockTheFps > Checking region: 00007ff742eeb000
UnlockTheFps > Checking region: 00007ff742eec000
UnlockTheFps > Checking region: 00007ff742ef0000
UnlockTheFps > Checking region: 00007ff742ef1000
UnlockTheFps > Checking region: 00007ff742ef3000
UnlockTheFps > Checking region: 00007ff742ef4000
UnlockTheFps > Checking region: 00007ff742ef6000
UnlockTheFps > Checking region: 00007ff742ef7000
UnlockTheFps > Checking region: 00007ff742efa000
UnlockTheFps > Checking region: 00007ff742efb000
UnlockTheFps > Checking region: 00007ff742f02000
UnlockTheFps > Checking region: 00007ff742f03000
UnlockTheFps > Checking region: 00007ff742f04000
UnlockTheFps > Checking region: 00007ff742f05000
UnlockTheFps > Checking region: 00007ff742f0c000
UnlockTheFps > Checking region: 00007ff742f0e000
UnlockTheFps > Checking region: 00007ff742f17000
UnlockTheFps > Checking region: 00007ff742f18000
UnlockTheFps > Checking region: 00007ff742f1a000
UnlockTheFps > Checking region: 00007ff742f1b000
UnlockTheFps > Checking region: 00007ff742f1e000
UnlockTheFps > Checking region: 00007ff742f1f000
UnlockTheFps > Checking region: 00007ff742f29000
UnlockTheFps > Checking region: 00007ff742f2a000
UnlockTheFps > Checking region: 00007ff742f46000
UnlockTheFps > Checking region: 00007ff742f47000
UnlockTheFps > Checking region: 00007ff742f82000
UnlockTheFps > Checking region: 00007ff742f83000
UnlockTheFps > Checking region: 00007ff742f89000
UnlockTheFps > Checking region: 00007ff742f8b000
UnlockTheFps > Checking region: 00007ff742fa8000
UnlockTheFps > Checking region: 00007ff742fa9000
UnlockTheFps > Checking region: 00007ff742fc7000
UnlockTheFps > Checking region: 00007ff742fc8000
UnlockTheFps > Checking region: 00007ff742fe0000
UnlockTheFps > Checking region: 00007ff742fe1000
UnlockTheFps > Checking region: 00007ff742fe7000
UnlockTheFps > Checking region: 00007ff742fe8000
UnlockTheFps > Checking region: 00007ff742fff000
UnlockTheFps > Checking region: 00007ff743000000
UnlockTheFps > Checking region: 00007ff743009000
UnlockTheFps > Checking region: 00007ff74300a000
UnlockTheFps > Checking region: 00007ff743034000
UnlockTheFps > Checking region: 00007ff743035000
UnlockTheFps > Checking region: 00007ff74303e000
UnlockTheFps > Checking region: 00007ff743040000
UnlockTheFps > Checking region: 00007ff74304c000
UnlockTheFps > Checking region: 00007ff74304d000
UnlockTheFps > Checking region: 00007ff743088000
UnlockTheFps > Checking region: 00007ff743089000
UnlockTheFps > Checking region: 00007ff743097000
UnlockTheFps > Checking region: 00007ff743098000
UnlockTheFps > Checking region: 00007ff74309e000
UnlockTheFps > Checking region: 00007ff7430a0000
UnlockTheFps > Checking region: 00007ff7430a8000
UnlockTheFps > Checking region: 00007ff7430aa000
UnlockTheFps > Checking region: 00007ff7430ae000
UnlockTheFps > Checking region: 00007ff7430af000
UnlockTheFps > Checking region: 00007ff7430b9000
UnlockTheFps > Checking region: 00007ff7430ba000
UnlockTheFps > Checking region: 00007ff7430c6000
UnlockTheFps > Checking region: 00007ff7430c7000
UnlockTheFps > Checking region: 00007ff743151000
UnlockTheFps > Checking region: 00007ff743152000
UnlockTheFps > Checking region: 00007ff74318d000
UnlockTheFps > Checking region: 00007ff74318e000
UnlockTheFps > Checking region: 00007ff7431ae000
UnlockTheFps > Checking region: 00007ff7431af000
UnlockTheFps > Checking region: 00007ff7431d4000
UnlockTheFps > Checking region: 00007ff7431d8000
UnlockTheFps > Checking region: 00007ff7431d9000
UnlockTheFps > Checking region: 00007ff7431db000
UnlockTheFps > Checking region: 00007ff7431e5000
UnlockTheFps > Checking region: 00007ff7431e7000
UnlockTheFps > Checking region: 00007ff7431f0000
UnlockTheFps > Checking region: 00007ff7431f1000
UnlockTheFps > Checking region: 00007ff7431f7000
UnlockTheFps > Checking region: 00007ff7431f8000
UnlockTheFps > Checking region: 00007ff7431ff000
UnlockTheFps > Checking region: 00007ff743200000
UnlockTheFps > Checking region: 00007ff743208000
UnlockTheFps > Checking region: 00007ff743209000
UnlockTheFps > Checking region: 00007ff743240000
UnlockTheFps > Checking region: 00007ff743242000
UnlockTheFps > Checking region: 00007ff743262000
UnlockTheFps > Checking region: 00007ff743263000
UnlockTheFps > Checking region: 00007ff74326a000
UnlockTheFps > Checking region: 00007ff74326b000
UnlockTheFps > Checking region: 00007ff7432f9000
UnlockTheFps > Checking region: 00007ff7432fa000
UnlockTheFps > Checking region: 00007ff7433f8000
UnlockTheFps > Checking region: 00007ff7433f9000
UnlockTheFps > Checking region: 00007ff743402000
UnlockTheFps > Checking region: 00007ff743403000
UnlockTheFps > Checking region: 00007ff743452000
UnlockTheFps > Checking region: 00007ff743453000
UnlockTheFps > Checking region: 00007ff74346d000
UnlockTheFps > Checking region: 00007ff74346e000
UnlockTheFps > Checking region: 00007ff743519000
UnlockTheFps > Checking region: 00007ff74351a000
UnlockTheFps > Checking region: 00007ff743559000
UnlockTheFps > Checking region: 00007ff74355a000
UnlockTheFps > Checking region: 00007ff743902000
UnlockTheFps > Checking region: 00007ff743903000
UnlockTheFps > Checking region: 00007ff743aba000
UnlockTheFps > Checking region: 00007ff743abb000
UnlockTheFps > Checking region: 00007ff743e29000
UnlockTheFps > Checking region: 00007ff743e2a000
UnlockTheFps > Checking region: 00007ff743e3b000
UnlockTheFps > Checking region: 00007ff743e3c000
UnlockTheFps > Found signature at 00007ff743e3caec
UnlockTheFps > Bytes at address: 3c 00 00 00
UnlockTheFps > Expected bytes: 3c 00 00 00
UnlockTheFps > New bytes: 00 00 00 00
UnlockTheFps > Bytes match
UnlockTheFps > Patch applied
UnlockTheFps > Bytes at address: 01 00 00 00
UnlockTheFps > Expected bytes: 01 00 00 00
UnlockTheFps > New bytes: 00 00 00 00
UnlockTheFps > Bytes match
UnlockTheFps > Patch applied
UnlockTheFps > Successfully removed 60 FPS limit!
